Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
8121122;14456305;14387480;2;MA;17;M; ;0;ei henkilövahinkoa;SF ;            ;
8121122;14456305;14387481;2;KU;16;M; ;0;ei henkilövahinkoa;SF ;A1          ;
8121122;14456306;14387479;3;KU;16;M; ;0;ei henkilövahinkoa;SF ;AM          ;
8122053;14457615;14388193;1;XX;; ; ;-;NA;   ;            ;
8122053;14457616;14388194;2;XX;; ; ;-;NA;   ;            ;
8121124;14456307;14387477;1;MA;53;M; ;0;ei henkilövahinkoa;SF ;            ;
8121124;14456307;14387478;1;KU;27;M; ;0;ei henkilövahinkoa;SF ;B           ;10
8120768;14456308;14387476;1;KU;23;N; ;0;ei henkilövahinkoa;SF ;B           ;5
8120768;14456309;14387475;2;KU;22;M; ;0;ei henkilövahinkoa;SF ;            ;
8121273;14456310;14387474;1;KU;78;M; ;0;ei henkilövahinkoa;SF ;AB          ;47
8121273;14456311;14387473;2;KU;70;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;45
8121274;14456312;14387472;1;MA;27;M; ;L;loukkaantunut;   ;            ;
8121274;14456312;14387711;1;KU;30;M;O;0;ei henkilövahinkoa;SF ;EI          ;
8121274;14456313;14387471;2;KU;51;M; ;0;ei henkilövahinkoa;SF ;ABCD        ;2
8121276;14456314;14387469;1;KU;33;M; ;0;ei henkilövahinkoa;RUS;ABC         ;15
8121276;14456314;14387470;1;MA;36;M; ;0;ei henkilövahinkoa;SF ;            ;
8121276;14456315;14387468;2;KU;29;M; ;L;loukkaantunut;RUS;B           ;
8122080;14457617;14388195;1;KU;68;N; ;0;ei henkilövahinkoa;SF ;ABE         ;45
8122080;14457618;14388196;2;KU;65;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;45
8121315;14456316;14387466;2;KU;29;M;O;0;ei henkilövahinkoa;AA ;EI          ;
8121315;14456316;14387467;2;MA;47;M; ;0;ei henkilövahinkoa;ZW ;            ;
8119538;14455689;14384732;1;KU;61;N; ;0;ei henkilövahinkoa;SF ;AB          ;43
8119538;14455825;14384250;2;KU;62;M; ;0;ei henkilövahinkoa;SF ;ABC         ;45
8292104;14771846;14709224;1;KU;57;M; ;0;ei henkilövahinkoa;SF ;ABECEDE     ;39
8292104;14771847;14709223;2;KU;31;M; ;0;ei henkilövahinkoa;SF ;B           ;11
8121394;14456317;14387465;1;KU;81;N; ;0;ei henkilövahinkoa;SF ;AB          ;44
8121394;14456318;14387464;2;KU;63;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;41
8788482;15672678;15624302;1;KU;24;M; ;0;ei henkilövahinkoa;EV ;            ;
8788482;15672689;15624324;2;KU;41;N; ;0;ei henkilövahinkoa;SF ;B           ;24
8788483;15672654;15624363;2;KU;32;M; ;0;ei henkilövahinkoa;RUC;B           ;6
8788483;15672714;15624350;1;KU;24;M; ;0;ei henkilövahinkoa;SF ;BECE        ;5
8120828;14456319;14387463;1;KU;40;M;O;L;loukkaantunut;SF ;EI          ;
8120828;14456320;14387462;2;KU;21;M; ;0;ei henkilövahinkoa;SF ;BECE        ;1
8788518;15672735;15624393;1;KU;23;M; ;0;ei henkilövahinkoa;SF ;B           ;
8121366;14456321;14387710;1;KU;33;M;O;0;ei henkilövahinkoa;EV ;EI          ;5
8122036;14457619;14388197;1;MA;30;M; ;0;ei henkilövahinkoa;EV ;            ;
8122036;14457619;14388198;1;KU;28;N; ;0;ei henkilövahinkoa;SF ;B           ;6
8121800;14457620;14388199;1;KU;25;M; ;0;ei henkilövahinkoa;SF ;BECE        ;7
8121800;14457620;14388200;1;MA;;M; ;0;ei henkilövahinkoa;SF ;            ;
